ear,head_pose,mouth_ratio,label,source
0.115181,0.025182,0.002495,0,Bored
0.255983,0.041199,0.001807,0,Bored
0.251256,0.047678,0.001958,0,Bored
0.271177,0.042853,0.002167,0,Bored
0.270332,0.042421,0.001814,0,Bored
0.263176,0.039922,0.00191,0,Bored
0.255238,0.039755,0.001301,0,Bored
0.220788,0.04282,0.001091,0,Bored
0.123552,0.036907,0.000185,0,Bored
0.063743,0.036497,0.001109,0,Bored
0.207471,0.1083,0.009839,0,Bored
0.220042,0.097442,0.004457,0,Bored
0.207999,0.025215,0.00028,0,Bored
0.174581,0.020295,0.002891,0,Bored
0.18219,0.02216,0.00361,0,Bored
0.198238,0.02151,0.00388,0,Bored
0.202502,0.012839,0.002993,0,Bored
0.192794,0.02126,0.002821,0,Bored
0.175701,0.009847,0.003674,0,Bored
0.098981,0.044763,0.003253,0,Bored
0.124532,0.084194,0.0031,0,Bored
0.102437,0.036462,0.006454,0,Bored
0.088001,0.035975,0.002409,0,Bored
0.066651,0.035202,0.004456,0,Bored
0.048684,0.034189,0.000302,0,Bored
0.043277,0.035498,0.001534,0,Bored
0.052589,0.030715,0.000887,0,Bored
0.033699,0.026579,0.006158,0,Bored
0.093906,0.02093,0.003449,0,Bored
0.058726,0.029675,0.000545,0,Bored
0.262974,0.019916,0.023538,0,Bored
0.25233,0.015481,0.026266,0,Bored
0.263784,0.014273,0.02746,0,Bored
0.258671,0.013439,0.025253,0,Bored
0.261422,0.024795,0.031905,0,Bored
0.250435,0.01764,0.023534,0,Bored
0.265551,0.016766,0.016854,0,Bored
0.27124,0.000242,0.022614,0,Bored
0.266428,0.005638,0.029564,0,Bored
0.265826,0.005665,0.037545,0,Bored
0.273143,0.008269,0.025678,0,Bored
0.177814,0.032037,0.009233,0,Bored
0.117438,0.033612,0.011037,0,Bored
0.043288,0.01608,0.001218,0,Bored
0.051712,0.015021,0.001052,0,Bored
0.048141,0.001705,0.002043,0,Bored
0.064374,0.004189,0.001846,0,Bored
0.063339,0.01138,0.002594,0,Bored
0.232496,0.044232,0.002749,0,Bored
0.247513,0.038017,0.004053,0,Bored
0.227394,0.039496,8.9e-05,0,Bored
0.237375,0.03171,0.002774,0,Bored
0.215726,0.012995,0.014745,0,Bored
0.126688,0.008417,0.01409,0,Bored
0.121281,0.00798,0.013087,0,Bored
0.166955,0.023314,0.025195,0,Bored
0.19405,0.008905,0.033803,0,Bored
0.233813,0.000888,0.050101,0,Bored
0.235377,0.00057,0.038755,0,Bored
0.226385,0.005184,0.021114,0,Bored
0.230024,0.010031,0.034866,0,Bored
0.197735,0.005276,0.019637,0,Bored
0.095064,0.009415,0.016507,0,Bored
0.084802,0.004613,0.011096,0,Bored
0.184618,0.014115,0.058702,0,Bored
0.212667,0.026672,0.023693,0,Bored
0.249957,0.030063,0.016321,0,Bored
0.038471,0.030841,0.002507,0,Bored
0.040744,0.033173,0.00083,0,Bored
0.035685,0.033768,0.003657,0,Bored
0.036438,0.037159,0.001703,0,Bored
0.036381,0.038246,0.001355,0,Bored
0.037795,0.036952,0.004075,0,Bored
0.030458,0.037449,0.003601,0,Bored
0.039922,0.039778,0.004597,0,Bored
0.033809,0.033409,0.000939,0,Bored
0.226021,0.00112,0.010229,0,Bored
0.229263,0.004013,0.013911,0,Bored
0.239914,0.013068,0.008798,0,Bored
0.241716,0.010403,0.009126,0,Bored
0.235356,0.012782,0.009831,0,Bored
0.240863,0.009296,0.008991,0,Bored
0.243088,0.021398,0.009466,0,Bored
0.24241,0.019214,0.010825,0,Bored
0.227505,0.020147,0.008404,0,Bored
0.227339,0.01205,0.004742,0,Bored
0.215957,0.01295,0.006786,0,Bored
0.219962,0.013898,0.004628,0,Bored
0.217506,0.015332,0.003393,0,Bored
0.22238,0.017119,0.002309,0,Bored
0.214731,0.018421,0.000567,0,Bored
0.216497,0.015246,0.002114,0,Bored
0.220404,0.014959,0.003277,0,Bored
0.223749,0.018545,0.003017,0,Bored
0.231556,0.000973,0.001864,0,Bored
0.222006,0.010041,0.002413,0,Bored
0.219307,0.00632,0.002541,0,Bored
0.218829,0.013057,0.003694,0,Bored
0.216003,0.00207,0.003828,0,Bored
0.215764,0.00373,0.002416,0,Bored
0.225658,0.010836,0.002395,0,Bored
0.209696,0.004394,0.00296,0,Bored
0.198743,0.005192,0.056874,0,Bored
0.198153,0.006858,0.051529,0,Bored
0.21181,0.006715,0.029536,0,Bored
0.216209,0.000778,0.014971,0,Bored
0.211547,0.004771,0.009497,0,Bored
0.221893,0.001371,0.012946,0,Bored
0.209397,0.001117,0.013266,0,Bored
0.207526,0.002491,0.011341,0,Bored
0.2022,0.003881,0.011288,0,Bored
0.195591,2.6e-05,0.010668,0,Bored
0.200077,0.001889,0.011663,0,Bored
0.203628,0.002409,0.011612,0,Bored
0.190315,0.000679,0.013871,0,Bored
0.183885,0.000303,0.007895,0,Bored
0.184281,0.005718,0.008782,0,Bored
0.194582,0.000104,0.00906,0,Bored
0.188399,0.003987,0.006908,0,Bored
0.18817,0.004902,0.008538,0,Bored
0.168999,0.006001,0.010453,0,Bored
0.192967,0.001734,0.007392,0,Bored
0.189218,0.002365,0.016394,0,Bored
0.199922,0.002161,0.007739,0,Bored
0.198076,0.002893,0.009518,0,Bored
0.203262,0.003108,0.008255,0,Bored
0.20128,0.005312,0.009698,0,Bored
0.197113,0.001453,0.015577,0,Bored
0.196122,0.001457,0.013274,0,Bored
0.196857,0.003324,0.010902,0,Bored
0.193927,0.006067,0.007395,0,Bored
